order_item_id,order_id,product_id,quantity,unit_price,line_total,customer_id,order_date,order_status,payment_method,product_name,category,gender,age,city,order_month
1,1,100,3,102000,306000,123,2026-07-10,completed,card,도서 상품 100,도서,M,20,서울,2026-07
2,1,87,5,25000,125000,123,2026-07-10,completed,card,도서 상품 087,도서,M,20,서울,2026-07
3,1,7,3,142000,426000,123,2026-07-10,completed,card,도서 상품 007,도서,M,20,서울,2026-07
4,1,9,3,193000,579000,123,2026-07-10,completed,card,스포츠 상품 009,스포츠,M,20,서울,2026-07
5,2,72,4,189000,756000,77,2025-09-25,cancelled,naver_pay,뷰티 상품 072,뷰티,M,64,서울,2025-09
6,3,33,5,124000,620000,138,2026-01-22,cancelled,bank_transfer,패션 상품 033,패션,F,35,대구,2026-01
7,3,20,3,80000,240000,138,2026-01-22,cancelled,bank_transfer,스포츠 상품 020,스포츠,F,35,대구,2026-01
8,3,11,5,115000,575000,138,2026-01-22,cancelled,bank_transfer,패션 상품 011,패션,F,35,대구,2026-01
9,4,45,3,62000,186000,57,2026-04-04,cancelled,kakao_pay,패션 상품 045,패션,F,23,수원,2026-04
10,4,84,4,78000,312000,57,2026-04-04,cancelled,kakao_pay,스포츠 상품 084,스포츠,F,23,수원,2026-04
11,5,77,1,71000,71000,125,2026-02-23,cancelled,card,전자기기 상품 077,전자기기,M,28,수원,2026-02
12,5,40,5,174000,870000,125,2026-02-23,cancelled,card,도서 상품 040,도서,M,28,수원,2026-02
13,6,83,3,24000,72000,87,2026-05-24,completed,naver_pay,전자기기 상품 083,전자기기,M,31,울산,2026-05
14,6,17,5,84000,420000,87,2026-05-24,completed,naver_pay,도서 상품 017,도서,M,31,울산,2026-05
15,6,12,4,175000,700000,87,2026-05-24,completed,naver_pay,식품 상품 012,식품,M,31,울산,2026-05
16,6,66,3,39000,117000,87,2026-05-24,completed,naver_pay,전자기기 상품 066,전자기기,M,31,울산,2026-05
17,7,47,3,11000,33000,120,2026-01-31,refunded,bank_transfer,생활용품 상품 047,생활용품,F,61,광주,2026-01
18,8,28,3,5000,15000,137,2025-10-06,cancelled,card,뷰티 상품 028,뷰티,M,68,울산,2025-10
19,8,99,4,200000,800000,137,2025-10-06,cancelled,card,뷰티 상품 099,뷰티,M,68,울산,2025-10
20,9,29,2,78000,156000,145,2026-03-25,completed,card,패션 상품 029,패션,M,59,성남,2026-03
21,9,20,1,80000,80000,145,2026-03-25,completed,card,스포츠 상품 020,스포츠,M,59,성남,2026-03
22,10,13,5,164000,820000,110,2026-05-19,cancelled,bank_transfer,패션 상품 013,패션,F,40,부산,2026-05
23,10,99,5,200000,1000000,110,2026-05-19,cancelled,bank_transfer,뷰티 상품 099,뷰티,F,40,부산,2026-05
24,10,95,5,20000,100000,110,2026-05-19,cancelled,bank_transfer,전자기기 상품 095,전자기기,F,40,부산,2026-05
25,11,85,3,74000,222000,47,2026-01-20,completed,card,생활용품 상품 085,생활용품,F,36,울산,2026-01
26,12,77,4,71000,284000,98,2025-09-14,completed,kakao_pay,전자기기 상품 077,전자기기,F,61,인천,2025-09
27,12,20,2,80000,160000,98,2025-09-14,completed,kakao_pay,스포츠 상품 020,스포츠,F,61,인천,2025-09
28,13,89,5,103000,515000,117,2026-08-05,completed,kakao_pay,생활용품 상품 089,생활용품,F,65,성남,2026-08
29,13,22,4,112000,448000,117,2026-08-05,completed,kakao_pay,생활용품 상품 022,생활용품,F,65,성남,2026-08
30,14,53,3,188000,564000,98,2026-02-20,cancelled,kakao_pay,생활용품 상품 053,생활용품,F,61,인천,2026-02
31,15,57,5,181000,905000,65,2026-07-26,cancelled,card,스포츠 상품 057,스포츠,F,33,인천,2026-07
32,15,37,4,193000,772000,65,2026-07-26,cancelled,card,뷰티 상품 037,뷰티,F,33,인천,2026-07
33,16,69,2,157000,314000,5,2026-03-19,completed,card,도서 상품 069,도서,F,19,부산,2026-03
34,16,40,4,174000,696000,5,2026-03-19,completed,card,도서 상품 040,도서,F,19,부산,2026-03
35,17,48,5,67000,335000,58,2025-10-20,completed,card,식품 상품 048,식품,F,66,성남,2025-10
36,17,57,4,181000,724000,58,2025-10-20,completed,card,스포츠 상품 057,스포츠,F,66,성남,2025-10
37,18,100,4,102000,408000,8,2026-02-25,completed,bank_transfer,도서 상품 100,도서,M,32,수원,2026-02
38,18,65,5,36000,180000,8,2026-02-25,completed,bank_transfer,생활용품 상품 065,생활용품,M,32,수원,2026-02
39,18,54,2,103000,206000,8,2026-02-25,completed,bank_transfer,스포츠 상품 054,스포츠,M,32,수원,2026-02
40,19,78,2,68000,136000,6,2026-01-28,completed,bank_transfer,뷰티 상품 078,뷰티,F,32,성남,2026-01
41,19,33,1,124000,124000,6,2026-01-28,completed,bank_transfer,패션 상품 033,패션,F,32,성남,2026-01
42,20,48,5,67000,335000,33,2026-05-14,completed,naver_pay,식품 상품 048,식품,M,31,수원,2026-05
43,20,14,5,174000,870000,33,2026-05-14,completed,naver_pay,패션 상품 014,패션,M,31,수원,2026-05
44,20,16,3,81000,243000,33,2026-05-14,completed,naver_pay,스포츠 상품 016,스포츠,M,31,수원,2026-05
45,20,11,2,115000,230000,33,2026-05-14,completed,naver_pay,패션 상품 011,패션,M,31,수원,2026-05
46,21,58,5,197000,985000,145,2026-08-22,cancelled,bank_transfer,식품 상품 058,식품,M,59,성남,2026-08
47,21,19,4,108000,432000,145,2026-08-22,cancelled,bank_transfer,패션 상품 019,패션,M,59,성남,2026-08
48,21,12,2,175000,350000,145,2026-08-22,cancelled,bank_transfer,식품 상품 012,식품,M,59,성남,2026-08
49,22,45,1,62000,62000,66,2026-07-28,completed,kakao_pay,패션 상품 045,패션,F,39,서울,2026-07
50,22,54,1,103000,103000,66,2026-07-28,completed,kakao_pay,스포츠 상품 054,스포츠,F,39,서울,2026-07
51,22,51,5,111000,555000,66,2026-07-28,completed,kakao_pay,전자기기 상품 051,전자기기,F,39,서울,2026-07
52,22,48,2,67000,134000,66,2026-07-28,completed,kakao_pay,식품 상품 048,식품,F,39,서울,2026-07
53,23,11,3,115000,345000,30,2026-03-07,completed,bank_transfer,패션 상품 011,패션,F,32,서울,2026-03
54,23,29,1,78000,78000,30,2026-03-07,completed,bank_transfer,패션 상품 029,패션,F,32,서울,2026-03
55,23,41,1,163000,163000,30,2026-03-07,completed,bank_transfer,스포츠 상품 041,스포츠,F,32,서울,2026-03
56,23,92,3,111000,333000,30,2026-03-07,completed,bank_transfer,식품 상품 092,식품,F,32,서울,2026-03
57,24,18,1,109000,109000,28,2026-06-11,completed,card,스포츠 상품 018,스포츠,M,35,성남,2026-06
58,24,37,4,193000,772000,28,2026-06-11,completed,card,뷰티 상품 037,뷰티,M,35,성남,2026-06
59,25,98,4,10000,40000,148,2025-11-08,cancelled,naver_pay,스포츠 상품 098,스포츠,M,29,고양,2025-11
60,25,58,5,197000,985000,148,2025-11-08,cancelled,naver_pay,식품 상품 058,식품,M,29,고양,2025-11
61,26,11,1,115000,115000,51,2026-02-26,refunded,card,패션 상품 011,패션,F,27,대전,2026-02
62,27,28,2,5000,10000,63,2025-11-17,completed,card,뷰티 상품 028,뷰티,M,60,대전,2025-11
63,27,71,5,161000,805000,63,2025-11-17,completed,card,전자기기 상품 071,전자기기,M,60,대전,2025-11
64,27,68,4,140000,560000,63,2025-11-17,completed,card,스포츠 상품 068,스포츠,M,60,대전,2025-11
65,28,100,3,102000,306000,31,2026-06-21,completed,card,도서 상품 100,도서,M,43,광주,2026-06
66,29,39,1,77000,77000,137,2026-03-31,completed,naver_pay,식품 상품 039,식품,M,68,울산,2026-03
67,29,7,2,142000,284000,137,2026-03-31,completed,naver_pay,도서 상품 007,도서,M,68,울산,2026-03
68,30,82,5,75000,375000,18,2026-05-20,completed,kakao_pay,생활용품 상품 082,생활용품,M,58,고양,2026-05
69,30,59,1,32000,32000,18,2026-05-20,completed,kakao_pay,뷰티 상품 059,뷰티,M,58,고양,2026-05
70,30,15,4,36000,144000,18,2026-05-20,completed,kakao_pay,뷰티 상품 015,뷰티,M,58,고양,2026-05
71,30,77,5,71000,355000,18,2026-05-20,completed,kakao_pay,전자기기 상품 077,전자기기,M,58,고양,2026-05
72,31,81,5,165000,825000,108,2025-12-23,completed,naver_pay,전자기기 상품 081,전자기기,F,22,성남,2025-12
73,32,92,2,111000,222000,111,2026-05-07,cancelled,kakao_pay,식품 상품 092,식품,F,41,광주,2026-05
74,32,38,4,173000,692000,111,2026-05-07,cancelled,kakao_pay,생활용품 상품 038,생활용품,F,41,광주,2026-05
75,33,79,3,168000,504000,40,2026-07-20,completed,naver_pay,뷰티 상품 079,뷰티,M,23,서울,2026-07
76,34,74,4,145000,580000,134,2026-09-02,refunded,kakao_pay,뷰티 상품 074,뷰티,M,57,대구,2026-09
77,34,24,1,196000,196000,134,2026-09-02,refunded,kakao_pay,스포츠 상품 024,스포츠,M,57,대구,2026-09
78,35,9,5,193000,965000,138,2026-04-07,cancelled,naver_pay,스포츠 상품 009,스포츠,F,35,대구,2026-04
79,35,70,5,198000,990000,138,2026-04-07,cancelled,naver_pay,패션 상품 070,패션,F,35,대구,2026-04
80,35,65,5,36000,180000,138,2026-04-07,cancelled,naver_pay,생활용품 상품 065,생활용품,F,35,대구,2026-04
81,36,50,4,23000,92000,112,2026-07-07,completed,kakao_pay,뷰티 상품 050,뷰티,F,46,성남,2026-07
82,37,82,4,75000,300000,63,2026-03-16,completed,card,생활용품 상품 082,생활용품,M,60,대전,2026-03
83,38,33,1,124000,124000,116,2026-03-09,cancelled,bank_transfer,패션 상품 033,패션,F,34,부산,2026-03
84,38,46,1,55000,55000,116,2026-03-09,cancelled,bank_transfer,뷰티 상품 046,뷰티,F,34,부산,2026-03
85,38,45,2,62000,124000,116,2026-03-09,cancelled,bank_transfer,패션 상품 045,패션,F,34,부산,2026-03
86,39,99,5,200000,1000000,146,2026-02-26,completed,naver_pay,뷰티 상품 099,뷰티,M,61,성남,2026-02
87,40,18,1,109000,109000,8,2026-07-27,completed,naver_pay,스포츠 상품 018,스포츠,M,32,수원,2026-07
88,40,46,5,55000,275000,8,2026-07-27,completed,naver_pay,뷰티 상품 046,뷰티,M,32,수원,2026-07
89,40,44,2,177000,354000,8,2026-07-27,completed,naver_pay,생활용품 상품 044,생활용품,M,32,수원,2026-07
90,41,90,4,44000,176000,47,2026-06-20,completed,naver_pay,스포츠 상품 090,스포츠,F,36,울산,2026-06
91,41,81,2,165000,330000,47,2026-06-20,completed,naver_pay,전자기기 상품 081,전자기기,F,36,울산,2026-06
92,41,18,1,109000,109000,47,2026-06-20,completed,naver_pay,스포츠 상품 018,스포츠,F,36,울산,2026-06
93,41,92,4,111000,444000,47,2026-06-20,completed,naver_pay,식품 상품 092,식품,F,36,울산,2026-06
94,42,38,2,173000,346000,91,2026-04-28,completed,kakao_pay,생활용품 상품 038,생활용품,M,27,인천,2026-04
95,43,26,1,82000,82000,72,2025-12-23,refunded,kakao_pay,도서 상품 026,도서,F,52,대구,2025-12
96,44,40,5,174000,870000,3,2026-01-13,completed,bank_transfer,도서 상품 040,도서,F,61,성남,2026-01
97,44,51,5,111000,555000,3,2026-01-13,completed,bank_transfer,전자기기 상품 051,전자기기,F,61,성남,2026-01
98,44,61,3,50000,150000,3,2026-01-13,completed,bank_transfer,생활용품 상품 061,생활용품,F,61,성남,2026-01
