순위,판매상품ID,상품명,판매가,저자,출판사,발행일,분야
1,S000220308313,"세네카, 오늘을 빼앗기고 있는 당신에게",16200,세네카,논픽션,2026-07-01,인문
2,S000221248222,흔한남매 23,15120,흔한남매,미래엔아이세움,2026-09-16,어린이(초등)
3,S000000620195,싯다르타,7200,헤르만 헤세,민음사,2002-01-20,소설
4,S000220693844,한국사 이상현상 연구원(일반판),19800,최인서,다이브,2026-08-31,소설
5,S000221075112,머니 트렌드 2027,24750,정태익 외,북모먼트,2026-09-16,경제/경영
6,S000221248704,2027 해커스경찰 갓대환 형사법 기출총정리 세트,89100,김대환,해커스경찰,2026-09-14,취업/수험서
7,S000220307771,테오,18900,앨런 레비,오팬하우스,2026-07-01,소설
8,S000220636999,마음의 어휘력,15120,조아란 외,페이지2북스,2026-08-11,시/에세이
9,S000218278239,니체의 초월자,15210,프리드리히 니체,히읏,2025-10-28,인문
10,S000220937605,서리꽃 세트,36000,조정래,해냄출판사,2026-08-24,소설
11,S000221231718,판매의 법칙,19800,김주환,모티브,2026-09-15,경제/경영
12,S000212414274,쇼펜하우어 인생수업(30만 부 기념 개정증보판),15750,쇼펜하우어,하이스트,2024-02-20,인문
13,S000211748790,수족관,15930,유래혁,포스터샵,2024-01-11,소설
14,S000221108246,시대예보: 수고인류의 시간,19800,송길영,교보문고,2026-09-16,경제/경영
15,S000221255753,군주론 : 쇼츠 에디션,17280,니콜로 마키아벨리,어센딩,2026-09-14,인문
16,S000220843924,그랬다고 적었다,15300,김애란,문학동네,2026-08-24,시/에세이
17,S000001632467,모순,11700,양귀자,쓰다,2013-04-01,소설
18,S000221141961,리더는 언제 차이를 만들어내는가,22320,재레드 다이아몬드,김영사,2026-09-15,인문
19,S000218674965,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(상)",17100,최태성,이투스북,2025-12-09,인문
20,S000221151022,트렌드 코리아 2027,19800,김난도 외,미래의창,2026-09-30,경제/경영
21,S000221280656,아름다운 것들은 비밀을 품고 있다,16020,파묘,모티브,2026-09-21,예술/대중문화
22,S000218674985,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(하)",16650,최태성,이투스북,2025-12-09,인문
23,S000000620316,브람스를 좋아하세요,9000,프랑수아즈 사강,민음사,2008-05-02,소설
24,S000220789296,똑똑한 사람은 어떻게 말하는가,19800,이시한,북플레저,2026-08-19,자기계발
25,S000220923864,옥스브리지의 철학 수업,25200,고요엘,상상스퀘어,2026-09-02,인문
26,S000221326903,향기로운 꽃은 늠름하게 핀다 22 & 47도도부현 포스트카드북(합본판),24300,Saka Mikami,대원씨아이,2026-09-30,만화
27,S000000620181,데미안,7200,헤르만 헤세,민음사,2009-01-20,소설
28,S000218781780,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",19800,최태성,이투스북,2025-12-16,인문
29,S000220119415,나의 첫 번째 부동산 교과서,20700,송희구,서삼독,2026-06-23,경제/경영
30,S000220861137,찰리 멍거 바이블 완결판,27000,김재현 외,에프엔미디어,2026-08-20,경제/경영
31,S000216122857,단 한 번의 삶(강물에디션 활판인쇄 한정판),15120,김영하,복복서가,2025-04-06,시/에세이
32,S000001813652,아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),16200,제임스 클리어,비즈니스북스,2019-02-26,자기계발
33,S000220500994,어떻게 살아낼 것인가,26820,짐 콜린스,필름(Feelm),2026-07-15,자기계발
34,S000221248175,멜로우 TV 팀 나빠 추리 탐정단 1,15120,멜로우TV,주니어김영사,2026-09-16,어린이(초등)
35,S000218791163,ETS 토익 정기시험 기출문제집 1000 Vol 5 RC,19800,ETS,YBM,2025-12-15,외국어
36,S000220588967,문해내공,22500,신종호 외,상상스퀘어,2026-08-12,인문
37,S000221326913,향기로운 꽃은 늠름하게 핀다 22,6300,Saka Mikami,대원씨아이,2026-09-30,만화
38,S000200329012,기분이 태도가 되지 말자(30만부 기념 최신 개정판),15300,김수현(훈글),하이스트,2022-11-25,시/에세이
39,S000000619973,이방인,9000,알베르 카뮈,민음사,2019-09-02,소설
40,S000001020219,해커스 토익 기출 VOCA(보카),11610,David Cho,해커스어학연구소,2026-01-05,외국어
41,S000218791156,ETS 토익 정기시험 기출문제집 1000 Vol 5 LC,19800,ETS,YBM,2025-12-15,외국어
42,S000216292200,오디세이아(고대 그리스어 완역본),24300,호메로스,현대지성,2025-04-18,인문
43,S000221173477,2027 해커스경찰 김민철 경찰학 기출 1000제,39600,김민철,해커스경찰,2026-09-09,취업/수험서
44,S000220587963,빵충 사육 준수 사항,15120,김혜영,안전가옥,2026-07-22,소설
45,S000221141797,녹색 절벽의 신자들,17100,조예은,오리지널스,2026-09-08,소설
46,S000220340903,코스모스(100만부 기념판),19800,칼 세이건,사이언스북스,2026-06-30,과학
47,S000220340900,독서의 기술,17820,고명환,라곰,2026-07-08,자기계발
48,S000214920225,The Scent of Page : 디퓨저 리필액 250ML,23800,교보문고,교보문고,2024-12-06,책향
49,S000220004645,원소 원정대,17820,아게도리도리,윌북주니어,2026-05-26,청소년
50,S000218942259,돈의 심리학(50만 부 기념 뉴 에디션),22320,모건 하우절,인플루엔셜,2026-01-14,경제/경영
51,S000220515357,투명한 나선,19800,히가시노 게이고,북다,2026-07-13,소설
52,S000220694725,오뒷세이아,22500,호메로스,을유문화사,2026-08-10,인문
53,S000217503188,절창(화이트 에디션),16200,구병모,문학동네,2025-09-17,소설
54,S000221176881,에그박사19,15120,에그박사,미래엔아이세움,2026-09-10,어린이(초등)
55,S000220806975,찌니주의보,15120,정지아,창비,2026-08-17,소설
56,S000000828225,불안(리커버:K),16200,알랭 드 보통,은행나무,2012-01-04,시/에세이
57,S000220700198,칵테일을 마시는 철학자들,23400,사라 베이크웰,다산초당,2026-07-30,인문
58,S000214920226,The Scent of Page : 디퓨저 200ML,49300,교보문고,교보문고,2024-12-06,책향
59,S000221189464,2027 김민철 경찰학 핵심요약집,31500,김민철,미래가치,2026-09-15,취업/수험서
60,S000001897778,명상록,10800,마르쿠스 아우렐리우스,현대지성,2018-04-02,인문
61,S000221141794,이기적 유전자,19800,리처드 도킨스,을유문화사,2026-09-15,과학
62,S000212169901,당신의 분노에는 이유가 있다,16020,충페이충,더페이지,2024-03-10,인문
63,S000221333791,사랑이라 부르기엔 소박하지만 1(특별판),15300,Daisuke Hagiwara,대원씨아이,2026-09-30,만화
64,S000221328870,"하루 한 장, 수북한 일력 2027",24000,남씨,한스미디어,2026-10-29,시/에세이
65,S000213913377,행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),16200,일홍,부크럼,2024-07-29,시/에세이
