단어,평균_TFIDF
2027,0.015500346236779445
2026,0.015419178223241044
에디션,0.009247947234540366
해커스,0.007562687994705335
2026년,0.006553975035162881
세트,0.006522937552255093
토익,0.0061258195056044
기념,0.005936098744846275
기본서,0.005839222137816098
the,0.005759144651610385
읽는,0.005531377308967149
일본어,0.005315747224006375
기출문제집,0.004679458988155897
해커스경찰,0.004638250979633987
공단기,0.004420247326964434
jlpt,0.004385646403094261
초판본,0.0043580083093833644
ai,0.0042180428303512695
리커버,0.004217242490788451
위한,0.0039630099411187905
나의,0.0038851147814575023
처음,0.003878928227142996
끝내는,0.003846254110472952
오디세이아,0.0037879769158002037
흔한남매,0.0037496740838672384
10월호,0.003698942320447902
스페셜,0.003602961996096333
수업,0.003584340399067905
투자,0.0035687909404149326
기출,0.0035633137518815625
