product_id,product_name,category,quantity_sold,total_sales,order_count
41,스포츠 상품 041,스포츠,35,5705000,12
12,식품 상품 012,식품,25,4375000,7
9,스포츠 상품 009,스포츠,20,3860000,6
72,뷰티 상품 072,뷰티,20,3780000,6
71,전자기기 상품 071,전자기기,23,3703000,5
68,스포츠 상품 068,스포츠,26,3640000,8
81,전자기기 상품 081,전자기기,22,3630000,6
11,패션 상품 011,패션,31,3565000,7
22,생활용품 상품 022,생활용품,29,3248000,8
89,생활용품 상품 089,생활용품,30,3090000,11
53,생활용품 상품 053,생활용품,16,3008000,4
73,도서 상품 073,도서,26,2964000,8
18,스포츠 상품 018,스포츠,26,2834000,11
58,식품 상품 058,식품,14,2758000,6
62,뷰티 상품 062,뷰티,15,2745000,6
49,전자기기 상품 049,전자기기,17,2737000,3
64,식품 상품 064,식품,18,2646000,4
27,전자기기 상품 027,전자기기,17,2465000,5
74,뷰티 상품 074,뷰티,17,2465000,5
38,생활용품 상품 038,생활용품,13,2249000,5
100,도서 상품 100,도서,22,2244000,7
77,전자기기 상품 077,전자기기,31,2201000,7
99,뷰티 상품 099,뷰티,11,2200000,3
51,전자기기 상품 051,전자기기,19,2109000,6
82,생활용품 상품 082,생활용품,28,2100000,8
3,전자기기 상품 003,전자기기,13,1976000,5
48,식품 상품 048,식품,29,1943000,8
37,뷰티 상품 037,뷰티,10,1930000,4
20,스포츠 상품 020,스포츠,24,1920000,8
40,도서 상품 040,도서,11,1914000,4
96,생활용품 상품 096,생활용품,17,1904000,4
92,식품 상품 092,식품,17,1887000,5
39,식품 상품 039,식품,24,1848000,9
79,뷰티 상품 079,뷰티,11,1848000,3
52,스포츠 상품 052,스포츠,12,1824000,4
93,전자기기 상품 093,전자기기,20,1780000,7
24,스포츠 상품 024,스포츠,9,1764000,3
7,도서 상품 007,도서,12,1704000,5
16,스포츠 상품 016,스포츠,21,1701000,7
69,도서 상품 069,도서,10,1570000,4
91,스포츠 상품 091,스포츠,26,1534000,9
31,뷰티 상품 031,뷰티,10,1530000,3
67,뷰티 상품 067,뷰티,12,1476000,3
54,스포츠 상품 054,스포츠,14,1442000,5
44,생활용품 상품 044,생활용품,8,1416000,3
34,전자기기 상품 034,전자기기,12,1416000,3
14,패션 상품 014,패션,8,1392000,3
57,스포츠 상품 057,스포츠,7,1267000,3
45,패션 상품 045,패션,20,1240000,7
97,전자기기 상품 097,전자기기,8,1232000,3
78,뷰티 상품 078,뷰티,18,1224000,7
32,도서 상품 032,도서,7,1204000,5
84,스포츠 상품 084,스포츠,15,1170000,5
88,생활용품 상품 088,생활용품,27,1161000,7
30,생활용품 상품 030,생활용품,10,1150000,3
36,도서 상품 036,도서,9,1134000,5
5,식품 상품 005,식품,6,1116000,2
63,도서 상품 063,도서,9,1107000,4
85,생활용품 상품 085,생활용품,14,1036000,4
43,뷰티 상품 043,뷰티,5,985000,2
4,생활용품 상품 004,생활용품,14,980000,6
55,전자기기 상품 055,전자기기,9,963000,4
10,스포츠 상품 010,스포츠,17,935000,5
90,스포츠 상품 090,스포츠,21,924000,6
33,패션 상품 033,패션,7,868000,3
26,도서 상품 026,도서,10,820000,3
66,전자기기 상품 066,전자기기,21,819000,6
15,뷰티 상품 015,뷰티,22,792000,6
65,생활용품 상품 065,생활용품,22,792000,7
80,패션 상품 080,패션,5,690000,1
60,뷰티 상품 060,뷰티,6,678000,3
13,패션 상품 013,패션,4,656000,1
61,생활용품 상품 061,생활용품,13,650000,3
25,생활용품 상품 025,생활용품,4,648000,2
59,뷰티 상품 059,뷰티,20,640000,8
1,전자기기 상품 001,전자기기,4,640000,2
94,도서 상품 094,도서,5,620000,2
42,패션 상품 042,패션,22,616000,6
70,패션 상품 070,패션,3,594000,2
8,스포츠 상품 008,스포츠,3,567000,2
46,뷰티 상품 046,뷰티,10,550000,4
86,패션 상품 086,패션,6,516000,2
17,도서 상품 017,도서,6,504000,2
50,뷰티 상품 050,뷰티,20,460000,7
23,스포츠 상품 023,스포츠,4,408000,1
87,도서 상품 087,도서,16,400000,5
83,전자기기 상품 083,전자기기,16,384000,6
56,생활용품 상품 056,생활용품,6,252000,2
29,패션 상품 029,패션,3,234000,2
47,생활용품 상품 047,생활용품,21,231000,6
19,패션 상품 019,패션,2,216000,2
2,도서 상품 002,도서,6,204000,3
75,전자기기 상품 075,전자기기,3,135000,1
98,스포츠 상품 098,스포츠,13,130000,4
95,전자기기 상품 095,전자기기,6,120000,2
35,스포츠 상품 035,스포츠,2,118000,1
6,전자기기 상품 006,전자기기,18,90000,6
28,뷰티 상품 028,뷰티,16,80000,4
